qacc	sacc	pident	qcovs	ppos	evalue	bitscore	sseqid	stitle
A0A1A8VSY9	tr|A0A1A8VSY9|A0A1A8VSY9_PLAMA	100.000	100	100.00	0.0	1214	tr|A0A1A8VSY9|A0A1A8VSY9_PLAMA	tr|A0A1A8VSY9|A0A1A8VSY9_PLAMA Flap endonuclease 1 OS=Plasmodium malariae OX=5858 GN=FEN1 PE=3 SV=1
A0A1A8VWP3	tr|A0A1D3JMC4|A0A1D3JMC4_PLAMA	99.240	100	99.24	0.0	2949	tr|A0A1D3JMC4|A0A1D3JMC4_PLAMA	tr|A0A1D3JMC4|A0A1D3JMC4_PLAMA Probable ATP-dependent 6-phosphofructokinase OS=Plasmodium malariae OX=5858 GN=PFK9 PE=3 SV=1
A0A1A8W300	tr|A0A1D3SMY2|A0A1D3SMY2_PLAMA	99.074	87	99.07	0.0	869	tr|A0A1D3SMY2|A0A1D3SMY2_PLAMA	tr|A0A1D3SMY2|A0A1D3SMY2_PLAMA Endonuclease III homolog OS=Plasmodium malariae OX=5858 GN=PmUG01_11048400 PE=3 SV=1
A0A1C3K9Z6	tr|A0A1A8VSY9|A0A1A8VSY9_PLAMA	98.997	100	99.16	0.0	1202	tr|A0A1A8VSY9|A0A1A8VSY9_PLAMA	tr|A0A1A8VSY9|A0A1A8VSY9_PLAMA Flap endonuclease 1 OS=Plasmodium malariae OX=5858 GN=FEN1 PE=3 SV=1
A0A1C3KBJ0	tr|A0A1D3JMC4|A0A1D3JMC4_PLAMA	98.541	100	98.61	0.0	2904	tr|A0A1D3JMC4|A0A1D3JMC4_PLAMA	tr|A0A1D3JMC4|A0A1D3JMC4_PLAMA Probable ATP-dependent 6-phosphofructokinase OS=Plasmodium malariae OX=5858 GN=PFK9 PE=3 SV=1
A0A1D3JMC4	tr|A0A1D3JMC4|A0A1D3JMC4_PLAMA	100.000	100	100.00	0.0	2960	tr|A0A1D3JMC4|A0A1D3JMC4_PLAMA	tr|A0A1D3JMC4|A0A1D3JMC4_PLAMA Probable ATP-dependent 6-phosphofructokinase OS=Plasmodium malariae OX=5858 GN=PFK9 PE=3 SV=1
A0A1D3SMY2	tr|A0A1D3SMY2|A0A1D3SMY2_PLAMA	100.000	100	100.00	0.0	872	tr|A0A1D3SMY2|A0A1D3SMY2_PLAMA	tr|A0A1D3SMY2|A0A1D3SMY2_PLAMA Endonuclease III homolog OS=Plasmodium malariae OX=5858 GN=PmUG01_11048400 PE=3 SV=1
P13815	tr|A0A1D3PAW9|A0A1D3PAW9_PLAMA	99.130	27	99.13	2.41e-78	246	tr|A0A1D3PAW9|A0A1D3PAW9_PLAMA	tr|A0A1D3PAW9|A0A1D3PAW9_PLAMA Circumsporozoite protein OS=Plasmodium malariae OX=5858 GN=CSP PE=3 SV=1
A0A1A8VPV0	tr|A0A1A8VPV0|A0A1A8VPV0_PLAMA	100.000	100	100.00	0.0	898	tr|A0A1A8VPV0|A0A1A8VPV0_PLAMA	tr|A0A1A8VPV0|A0A1A8VPV0_PLAMA 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial OS=Plasmodium malariae OX=5858 GN=PmUG01_04027500 PE=3 SV=1
A0A1A8VR74	tr|A0A1A8VR74|A0A1A8VR74_PLAMA	100.000	100	100.00	0.0	766	tr|A0A1A8VR74|A0A1A8VR74_PLAMA	tr|A0A1A8VR74|A0A1A8VR74_PLAMA ATPase ASNA1 homolog OS=Plasmodium malariae OX=5858 GN=PmUG01_05028700 PE=3 SV=1
A0A1A8VRA7	tr|A0A1D3JLL1|A0A1D3JLL1_PLAMA	99.678	100	99.84	0.0	1282	tr|A0A1D3JLL1|A0A1D3JLL1_PLAMA	tr|A0A1D3JLL1|A0A1D3JLL1_PLAMA Bifunctional dihydrofolate reductase-thymidylate synthase OS=Plasmodium malariae OX=5858 GN=DHFR-TS PE=3 SV=1
A0A1A8VSC0	tr|A0A1A8VSC0|A0A1A8VSC0_PLAMA	100.000	100	100.00	0.0	1324	tr|A0A1A8VSC0|A0A1A8VSC0_PLAMA	tr|A0A1A8VSC0|A0A1A8VSC0_PLAMA Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Plasmodium malariae OX=5858 GN=SDHA PE=3 SV=1
A0A1A8VSY1	tr|A0A1A8VSY1|A0A1A8VSY1_PLAMA	100.000	100	100.00	0.0	1323	tr|A0A1A8VSY1|A0A1A8VSY1_PLAMA	tr|A0A1A8VSY1|A0A1A8VSY1_PLAMA Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase OS=Plasmodium malariae OX=5858 GN=PmUG01_07020200 PE=3 SV=1
A0A1A8VTM3	tr|A0A1A8VTM3|A0A1A8VTM3_PLAMA	100.000	100	100.00	0.0	1047	tr|A0A1A8VTM3|A0A1A8VTM3_PLAMA	tr|A0A1A8VTM3|A0A1A8VTM3_PLAMA Inosine-5'-monophosphate dehydrogenase OS=Plasmodium malariae OX=5858 GN=IMPDH PE=3 SV=1
A0A1A8VU51	tr|A0A1D3JJD2|A0A1D3JJD2_PLAMA	99.342	94	99.34	0.0	2449	tr|A0A1D3JJD2|A0A1D3JJD2_PLAMA	tr|A0A1D3JJD2|A0A1D3JJD2_PLAMA RNA cytidine acetyltransferase OS=Plasmodium malariae OX=5858 GN=PmUG01_06012100 PE=3 SV=1
A0A1A8VUJ2	tr|A0A1A8VUJ2|A0A1A8VUJ2_PLAMA	100.000	100	100.00	0.0	2340	tr|A0A1A8VUJ2|A0A1A8VUJ2_PLAMA	tr|A0A1A8VUJ2|A0A1A8VUJ2_PLAMA DNA helicase OS=Plasmodium malariae OX=5858 GN=XPD PE=3 SV=1
A0A1A8VUK5	tr|A0A1D3RIX5|A0A1D3RIX5_PLAMA	99.630	99	100.00	0.0	552	tr|A0A1D3RIX5|A0A1D3RIX5_PLAMA	tr|A0A1D3RIX5|A0A1D3RIX5_PLAMA Probable tRNA N6-adenosine threonylcarbamoyltransferase OS=Plasmodium malariae OX=5858 GN=KAE1 PE=3 SV=1
A0A1A8VVC5	tr|A0A1A8VVC5|A0A1A8VVC5_PLAMA	100.000	100	100.00	0.0	531	tr|A0A1A8VVC5|A0A1A8VVC5_PLAMA	tr|A0A1A8VVC5|A0A1A8VVC5_PLAMA Anamorsin homolog OS=Plasmodium malariae OX=5858 GN=DRE2 PE=3 SV=1
A0A1A8VVE3	tr|A0A1D3PAV2|A0A1D3PAV2_PLAMA	99.309	97	99.77	0.0	884	tr|A0A1D3PAV2|A0A1D3PAV2_PLAMA	tr|A0A1D3PAV2|A0A1D3PAV2_PLAMA Enolase OS=Plasmodium malariae OX=5858 GN=ENO PE=3 SV=1
A0A1A8VZS7	tr|A0A1D3RHI7|A0A1D3RHI7_PLAMA	99.792	100	99.79	0.0	1986	tr|A0A1D3RHI7|A0A1D3RHI7_PLAMA	tr|A0A1D3RHI7|A0A1D3RHI7_PLAMA DNA replication licensing factor MCM3 OS=Plasmodium malariae OX=5858 GN=MCM3 PE=3 SV=1
A0A1A8W1Y7	tr|A0A1D3SMI1|A0A1D3SMI1_PLAMA	100.000	99	100.00	0.0	2060	tr|A0A1D3SMI1|A0A1D3SMI1_PLAMA	tr|A0A1D3SMI1|A0A1D3SMI1_PLAMA DNA replication licensing factor MCM6 OS=Plasmodium malariae OX=5858 GN=MCM6 PE=3 SV=1
A0A1A8W2D6	tr|A0A1A8W2D6|A0A1A8W2D6_PLAMA	100.000	100	100.00	0.0	1402	tr|A0A1A8W2D6|A0A1A8W2D6_PLAMA	tr|A0A1A8W2D6|A0A1A8W2D6_PLAMA Poly(A) polymerase OS=Plasmodium malariae OX=5858 GN=PmUG01_11038000 PE=3 SV=1
A0A1A8W3D6	tr|A0A1A8W3D6|A0A1A8W3D6_PLAMA	100.000	100	100.00	0.0	1276	tr|A0A1A8W3D6|A0A1A8W3D6_PLAMA	tr|A0A1A8W3D6|A0A1A8W3D6_PLAMA Rhomboid-like protease OS=Plasmodium malariae OX=5858 GN=ROM4 PE=3 SV=1
A0A1A8W685	tr|A0A1A8W685|A0A1A8W685_PLAMA	100.000	100	100.00	0.0	2417	tr|A0A1A8W685|A0A1A8W685_PLAMA	tr|A0A1A8W685|A0A1A8W685_PLAMA Alanine--tRNA ligase OS=Plasmodium malariae OX=5858 GN=AlaRS PE=3 SV=1
A0A1A8W8M2	tr|A0A1D3TC97|A0A1D3TC97_PLAMA	93.126	100	93.13	0.0	1135	tr|A0A1D3TC97|A0A1D3TC97_PLAMA	tr|A0A1D3TC97|A0A1D3TC97_PLAMA O-phosphoseryl-tRNA(Sec) selenium transferase OS=Plasmodium malariae OX=5858 GN=SEPSECS PE=3 SV=1
A0A1A8W8M6	tr|A0A1D3TCK0|A0A1D3TCK0_PLAMA	99.966	100	100.00	0.0	6145	tr|A0A1D3TCK0|A0A1D3TCK0_PLAMA	tr|A0A1D3TCK0|A0A1D3TCK0_PLAMA glutamate synthase (NADH) OS=Plasmodium malariae OX=5858 GN=PmUG01_13025000 PE=3 SV=1
A0A1A8W8W5	tr|A0A1D3TCX4|A0A1D3TCX4_PLAMA	100.000	100	100.00	0.0	927	tr|A0A1D3TCX4|A0A1D3TCX4_PLAMA	tr|A0A1D3TCX4|A0A1D3TCX4_PLAMA Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Plasmodium malariae OX=5858 GN=PmUG01_13028600 PE=3 SV=1
