# SignalP-5.0	Organism: euk	
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
A0A1A8VSY9	OTHER	0.001928	0.998072	
A0A1A8VWP3	OTHER	0.000332	0.999668	
A0A1A8W300	OTHER	0.001995	0.998005	
A0A1C3K9Z6	OTHER	0.001928	0.998072	
A0A1C3KBJ0	OTHER	0.000368	0.999632	
A0A1D3JMC4	OTHER	0.000341	0.999659	
A0A1D3SMY2	OTHER	0.023148	0.976852	
P13815	SP(Sec/SPI)	0.669508	0.330492	CS pos: 28-29. SNS-TK. Pr: 0.1507
A0A1A8VPV0	OTHER	0.000281	0.999719	
A0A1A8VR74	OTHER	0.000994	0.999006	
A0A1A8VRA7	OTHER	0.003139	0.996861	
A0A1A8VSC0	OTHER	0.000981	0.999019	
A0A1A8VSY1	OTHER	0.000855	0.999145	
A0A1A8VTM3	OTHER	0.001294	0.998706	
A0A1A8VU51	OTHER	0.000841	0.999159	
A0A1A8VUJ2	OTHER	0.000993	0.999007	
A0A1A8VUK5	OTHER	0.000985	0.999015	
A0A1A8VVC5	OTHER	0.000268	0.999732	
A0A1A8VVE3	OTHER	0.298795	0.701205	
A0A1A8VZS7	OTHER	0.000305	0.999695	
A0A1A8W1Y7	OTHER	0.000643	0.999357	
A0A1A8W2D6	OTHER	0.000630	0.999370	
A0A1A8W3D6	OTHER	0.000566	0.999434	
A0A1A8W685	OTHER	0.001447	0.998553	
A0A1A8W8M2	OTHER	0.000637	0.999363	
A0A1A8W8M6	OTHER	0.000752	0.999248	
A0A1A8W8W5	OTHER	0.000370	0.999630	
A0A1A8W909	OTHER	0.001514	0.998486	
A0A1A8W9C5	OTHER	0.000472	0.999528	
A0A1A8W9K4	OTHER	0.000410	0.999590	
A0A1A8W9X8	OTHER	0.000250	0.999750	
A0A1A8WBL6	OTHER	0.000104	0.999896	
A0A1A8WBS9	OTHER	0.000928	0.999072	
A0A1A8WBU5	OTHER	0.000488	0.999512	
A0A1A8WDU0	OTHER	0.000856	0.999144	
A0A1A8WDX5	OTHER	0.002054	0.997946	
A0A1A8WE70	SP(Sec/SPI)	0.500591	0.499409	CS pos: 25-26. TEG-KA. Pr: 0.3819
A0A1A8WIY3	OTHER	0.000642	0.999358	
A0A1A8WKG0	OTHER	0.000826	0.999174	
A0A1A8WMD1	OTHER	0.002540	0.997460	
A0A1A8WYZ7	OTHER	0.002027	0.997973	
A0A1A8WZX9	OTHER	0.001637	0.998363	
A0A1A8X445	OTHER	0.002420	0.997580	
A0A1A8X481	OTHER	0.000434	0.999566	
A0A1A8X6P7	OTHER	0.000573	0.999427	
A0A1A8X777	OTHER	0.001491	0.998509	
A0A1A8X7E6	OTHER	0.001964	0.998036	
A0A1C3KAH2	OTHER	0.000436	0.999564	
A0A1C3KAS9	OTHER	0.000300	0.999700	
A0A1C3KB14	OTHER	0.000622	0.999378	
A0A1C3KBG0	OTHER	0.000855	0.999145	
A0A1C3KBH3	OTHER	0.244463	0.755537	
A0A1C3KBV8	OTHER	0.001591	0.998409	
A0A1C3KC58	OTHER	0.000421	0.999579	
A0A1C3KC69	OTHER	0.000993	0.999007	
A0A1C3KCE6	OTHER	0.003058	0.996942	
A0A1C3KCI4	SP(Sec/SPI)	0.813628	0.186372	CS pos: 20-21. CFS-GN. Pr: 0.3407
A0A1C3KCQ4	OTHER	0.001437	0.998563	
A0A1C3KDD2	OTHER	0.000450	0.999550	
A0A1C3KDR5	OTHER	0.001120	0.998880	
A0A1C3KE20	OTHER	0.000574	0.999426	
A0A1C3KEE0	OTHER	0.000716	0.999284	
A0A1C3KEG1	OTHER	0.001205	0.998795	
A0A1C3KEN0	OTHER	0.000752	0.999248	
A0A1C3KEP4	OTHER	0.000930	0.999070	
A0A1C3KEQ8	OTHER	0.000472	0.999528	
A0A1C3KEU9	OTHER	0.000561	0.999439	
A0A1C3KEV8	OTHER	0.000471	0.999529	
A0A1C3KFG2	OTHER	0.000410	0.999590	
A0A1C3KLS3	OTHER	0.000280	0.999720	
A0A1C3KLU4	OTHER	0.000940	0.999060	
A0A1C3KYB2	OTHER	0.000713	0.999287	
A0A1C3KYQ4	OTHER	0.001964	0.998036	
A0A1C3KYU6	OTHER	0.000854	0.999146	
A0A1C3KYV8	SP(Sec/SPI)	0.669508	0.330492	CS pos: 28-29. SNS-TK. Pr: 0.1507
A0A1C3KYZ4	SP(Sec/SPI)	0.857984	0.142016	CS pos: 22-23. GSV-GI. Pr: 0.3712
