qacc	sacc	pident	qcovs	ppos	evalue	bitscore	sseqid	stitle
A0A1A8VSY9	tr|A0A1A8VSY9|A0A1A8VSY9_PLAMA	100.000	100	100.00	0.0	1214	tr|A0A1A8VSY9|A0A1A8VSY9_PLAMA	tr|A0A1A8VSY9|A0A1A8VSY9_PLAMA Flap endonuclease 1 OS=Plasmodium malariae OX=5858 GN=FEN1 PE=3 SV=1
A0A1A8VSY9	tr|A0A1D3JJ85|A0A1D3JJ85_PLAMA	27.473	61	45.42	3.14e-23	103	tr|A0A1D3JJ85|A0A1D3JJ85_PLAMA	tr|A0A1D3JJ85|A0A1D3JJ85_PLAMA DNA repair protein RAD2, putative OS=Plasmodium malariae OX=5858 GN=RAD2 PE=4 SV=1
A0A1A8VSY9	tr|A0A1D3JJ85|A0A1D3JJ85_PLAMA	30.935	61	43.17	5.15e-10	61.2	tr|A0A1D3JJ85|A0A1D3JJ85_PLAMA	tr|A0A1D3JJ85|A0A1D3JJ85_PLAMA DNA repair protein RAD2, putative OS=Plasmodium malariae OX=5858 GN=RAD2 PE=4 SV=1
A0A1A8VSY9	tr|A0A1A8VUU4|A0A1A8VUU4_PLAMA	31.892	41	45.41	7.07e-18	84.3	tr|A0A1A8VUU4|A0A1A8VUU4_PLAMA	tr|A0A1A8VUU4|A0A1A8VUU4_PLAMA Endonuclease, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_08024000 PE=4 SV=1
A0A1A8VSY9	tr|A0A1A8VUU4|A0A1A8VUU4_PLAMA	28.571	41	51.65	8.89e-04	40.4	tr|A0A1A8VUU4|A0A1A8VUU4_PLAMA	tr|A0A1A8VUU4|A0A1A8VUU4_PLAMA Endonuclease, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_08024000 PE=4 SV=1
A0A1A8VSY9	tr|A0A1D3JIS1|A0A1D3JIS1_PLAMA	36.471	44	57.65	1.43e-08	56.2	tr|A0A1D3JIS1|A0A1D3JIS1_PLAMA	tr|A0A1D3JIS1|A0A1D3JIS1_PLAMA Exonuclease 1 OS=Plasmodium malariae OX=5858 GN=PmUG01_03031400 PE=3 SV=1
A0A1A8VSY9	tr|A0A1D3JIS1|A0A1D3JIS1_PLAMA	23.116	44	43.72	2.44e-08	55.5	tr|A0A1D3JIS1|A0A1D3JIS1_PLAMA	tr|A0A1D3JIS1|A0A1D3JIS1_PLAMA Exonuclease 1 OS=Plasmodium malariae OX=5858 GN=PmUG01_03031400 PE=3 SV=1
A0A1A8VSY9	tr|A0A1D3PAP3|A0A1D3PAP3_PLAMA	20.769	42	39.62	0.002	39.7	tr|A0A1D3PAP3|A0A1D3PAP3_PLAMA	tr|A0A1D3PAP3|A0A1D3PAP3_PLAMA Exonuclease 1 OS=Plasmodium malariae OX=5858 GN=PmUG01_08019600 PE=3 SV=1
A0A1A8VWP3	tr|A0A1D3JMC4|A0A1D3JMC4_PLAMA	99.240	100	99.24	0.0	2949	tr|A0A1D3JMC4|A0A1D3JMC4_PLAMA	tr|A0A1D3JMC4|A0A1D3JMC4_PLAMA Probable ATP-dependent 6-phosphofructokinase OS=Plasmodium malariae OX=5858 GN=PFK9 PE=3 SV=1
A0A1A8VWP3	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	30.633	69	48.86	2.34e-42	168	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA ATP-dependent 6-phosphofructokinase, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_09037600 PE=4 SV=1
A0A1A8VWP3	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	27.930	69	45.64	1.47e-36	149	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA ATP-dependent 6-phosphofructokinase, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_09037600 PE=4 SV=1
A0A1A8VWP3	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	22.770	69	42.69	2.32e-29	126	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA ATP-dependent 6-phosphofructokinase, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_09037600 PE=4 SV=1
A0A1A8VWP3	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	24.603	69	43.45	3.45e-22	102	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA ATP-dependent 6-phosphofructokinase, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_09037600 PE=4 SV=1
A0A1A8VWP3	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	32.018	69	50.00	2.23e-21	100	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA ATP-dependent 6-phosphofructokinase, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_09037600 PE=4 SV=1
A0A1A8VWP3	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	31.356	69	58.47	5.36e-10	62.8	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA ATP-dependent 6-phosphofructokinase, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_09037600 PE=4 SV=1
A0A1A8VWP3	tr|A0A1D3JJK2|A0A1D3JJK2_PLAMA	34.343	8	54.55	0.008	39.3	tr|A0A1D3JJK2|A0A1D3JJK2_PLAMA	tr|A0A1D3JJK2|A0A1D3JJK2_PLAMA Uncharacterized protein OS=Plasmodium malariae OX=5858 GN=PmUG01_06016000 PE=4 SV=1
A0A1A8VWP3	tr|A0A1D3JJK2|A0A1D3JJK2_PLAMA	31.746	8	47.62	0.009	38.9	tr|A0A1D3JJK2|A0A1D3JJK2_PLAMA	tr|A0A1D3JJK2|A0A1D3JJK2_PLAMA Uncharacterized protein OS=Plasmodium malariae OX=5858 GN=PmUG01_06016000 PE=4 SV=1
A0A1A8VWP3	tr|A0A1D3JJK2|A0A1D3JJK2_PLAMA	35.714	8	57.14	0.32	33.9	tr|A0A1D3JJK2|A0A1D3JJK2_PLAMA	tr|A0A1D3JJK2|A0A1D3JJK2_PLAMA Uncharacterized protein OS=Plasmodium malariae OX=5858 GN=PmUG01_06016000 PE=4 SV=1
A0A1A8VWP3	tr|A0A1D3JIG5|A0A1D3JIG5_PLAMA	27.273	8	42.98	0.099	35.4	tr|A0A1D3JIG5|A0A1D3JIG5_PLAMA	tr|A0A1D3JIG5|A0A1D3JIG5_PLAMA Uncharacterized protein OS=Plasmodium malariae OX=5858 GN=PmUG01_03023200 PE=4 SV=1
A0A1A8VWP3	tr|A0A1D3TCW0|A0A1D3TCW0_PLAMA	61.905	3	69.05	0.11	35.4	tr|A0A1D3TCW0|A0A1D3TCW0_PLAMA	tr|A0A1D3TCW0|A0A1D3TCW0_PLAMA Uncharacterized protein OS=Plasmodium malariae OX=5858 GN=PmUG01_13035500 PE=4 SV=1
A0A1A8VWP3	tr|A0A1D3TCW0|A0A1D3TCW0_PLAMA	68.750	3	78.12	0.29	33.9	tr|A0A1D3TCW0|A0A1D3TCW0_PLAMA	tr|A0A1D3TCW0|A0A1D3TCW0_PLAMA Uncharacterized protein OS=Plasmodium malariae OX=5858 GN=PmUG01_13035500 PE=4 SV=1
A0A1A8VWP3	tr|A0A1D3TCW0|A0A1D3TCW0_PLAMA	60.526	3	68.42	3.5	30.4	tr|A0A1D3TCW0|A0A1D3TCW0_PLAMA	tr|A0A1D3TCW0|A0A1D3TCW0_PLAMA Uncharacterized protein OS=Plasmodium malariae OX=5858 GN=PmUG01_13035500 PE=4 SV=1
A0A1A8W300	tr|A0A1D3SMY2|A0A1D3SMY2_PLAMA	99.074	87	99.07	0.0	869	tr|A0A1D3SMY2|A0A1D3SMY2_PLAMA	tr|A0A1D3SMY2|A0A1D3SMY2_PLAMA Endonuclease III homolog OS=Plasmodium malariae OX=5858 GN=PmUG01_11048400 PE=3 SV=1
A0A1A8W300	tr|A0A1D3PC03|A0A1D3PC03_PLAMA	31.852	26	54.07	3.67e-11	63.9	tr|A0A1D3PC03|A0A1D3PC03_PLAMA	tr|A0A1D3PC03|A0A1D3PC03_PLAMA Adenine DNA glycosylase OS=Plasmodium malariae OX=5858 GN=PmUG01_09038700 PE=3 SV=1
A0A1A8W300	tr|A0A1D3SPQ0|A0A1D3SPQ0_PLAMA	58.333	14	72.22	3.84e-04	41.6	tr|A0A1D3SPQ0|A0A1D3SPQ0_PLAMA	tr|A0A1D3SPQ0|A0A1D3SPQ0_PLAMA acetyl-CoA carboxylase OS=Plasmodium malariae OX=5858 GN=ACC PE=4 SV=1
A0A1A8W300	tr|A0A1D3SPQ0|A0A1D3SPQ0_PLAMA	40.984	14	55.74	0.33	32.0	tr|A0A1D3SPQ0|A0A1D3SPQ0_PLAMA	tr|A0A1D3SPQ0|A0A1D3SPQ0_PLAMA acetyl-CoA carboxylase OS=Plasmodium malariae OX=5858 GN=ACC PE=4 SV=1
A0A1A8W300	tr|A0A1D3JJH2|A0A1D3JJH2_PLAMA	26.190	17	51.19	0.002	39.3	tr|A0A1D3JJH2|A0A1D3JJH2_PLAMA	tr|A0A1D3JJH2|A0A1D3JJH2_PLAMA PH domain-containing protein OS=Plasmodium malariae OX=5858 GN=PmUG01_06011000 PE=4 SV=1
A0A1A8W300	tr|A0A1D3JJH2|A0A1D3JJH2_PLAMA	29.730	17	64.86	0.16	33.1	tr|A0A1D3JJH2|A0A1D3JJH2_PLAMA	tr|A0A1D3JJH2|A0A1D3JJH2_PLAMA PH domain-containing protein OS=Plasmodium malariae OX=5858 GN=PmUG01_06011000 PE=4 SV=1
A0A1A8W300	tr|A0A1D3JJH2|A0A1D3JJH2_PLAMA	27.273	17	63.64	5.4	28.1	tr|A0A1D3JJH2|A0A1D3JJH2_PLAMA	tr|A0A1D3JJH2|A0A1D3JJH2_PLAMA PH domain-containing protein OS=Plasmodium malariae OX=5858 GN=PmUG01_06011000 PE=4 SV=1
A0A1A8W300	tr|A0A1D3TCT5|A0A1D3TCT5_PLAMA	33.333	9	66.67	0.003	38.5	tr|A0A1D3TCT5|A0A1D3TCT5_PLAMA	tr|A0A1D3TCT5|A0A1D3TCT5_PLAMA Protein HGH1 N-terminal domain-containing protein OS=Plasmodium malariae OX=5858 GN=PmUG01_13034200 PE=4 SV=1
A0A1A8W300	tr|A0A1D3TCT5|A0A1D3TCT5_PLAMA	30.952	9	66.67	0.003	38.5	tr|A0A1D3TCT5|A0A1D3TCT5_PLAMA	tr|A0A1D3TCT5|A0A1D3TCT5_PLAMA Protein HGH1 N-terminal domain-containing protein OS=Plasmodium malariae OX=5858 GN=PmUG01_13034200 PE=4 SV=1
A0A1A8W300	tr|A0A1D3TCT5|A0A1D3TCT5_PLAMA	30.769	9	71.79	0.007	37.4	tr|A0A1D3TCT5|A0A1D3TCT5_PLAMA	tr|A0A1D3TCT5|A0A1D3TCT5_PLAMA Protein HGH1 N-terminal domain-containing protein OS=Plasmodium malariae OX=5858 GN=PmUG01_13034200 PE=4 SV=1
A0A1A8W300	tr|A0A1D3TCT5|A0A1D3TCT5_PLAMA	32.432	9	70.27	0.007	37.4	tr|A0A1D3TCT5|A0A1D3TCT5_PLAMA	tr|A0A1D3TCT5|A0A1D3TCT5_PLAMA Protein HGH1 N-terminal domain-containing protein OS=Plasmodium malariae OX=5858 GN=PmUG01_13034200 PE=4 SV=1
