SEQENCE ID                     TM SP PREDICTION
A0A1A8VSY9                      0  0 o
A0A1A8VWP3                      0  0 o
A0A1A8W300                      0  0 o
A0A1C3K9Z6                      0  0 o
A0A1C3KBJ0                      0  0 o
A0A1D3JMC4                      0  0 o
A0A1D3SMY2                      0  Y n10-18c23/24o
P13815                          1  Y n4-15c20/21o409-428i
A0A1A8VPV0                      1  0 o419-438i
A0A1A8VR74                      0  0 o
A0A1A8VRA7                      0  0 o
A0A1A8VSC0                      0  0 o
A0A1A8VSY1                      0  0 o
A0A1A8VTM3                      0  0 o
A0A1A8VU51                      1  0 o1146-1163i
A0A1A8VUJ2                      0  0 o
A0A1A8VUK5                      0  0 o
A0A1A8VVC5                      0  0 o
A0A1A8VVE3                      0  0 o
A0A1A8VZS7                      0  0 o
A0A1A8W1Y7                      0  0 o
A0A1A8W2D6                      1  0 i299-316o
A0A1A8W3D6                      7  0 i193-212o332-350i357-376o382-402i414-433o439-460i542-564o
A0A1A8W685                      0  0 o
A0A1A8W8M2                      0  0 o
A0A1A8W8M6                      2  0 o906-922i942-962o
A0A1A8W8W5                      0  0 o
A0A1A8W909                      0  0 o
A0A1A8W9C5                      0  0 o
A0A1A8W9K4                      2  0 o866-884i891-909o
A0A1A8W9X8                      0  0 o
A0A1A8WBL6                      2  0 o1142-1160i1841-1860o
A0A1A8WBS9                      0  0 o
A0A1A8WBU5                      0  0 o
A0A1A8WDU0                      0  0 o
A0A1A8WDX5                      0  0 o
A0A1A8WE70                      0  0 o
A0A1A8WIY3                      0  0 o
A0A1A8WKG0                      0  0 o
A0A1A8WMD1                      0  0 i
A0A1A8WYZ7                      0  0 i
A0A1A8WZX9                      1  0 i18-36o
A0A1A8X445                      0  0 o
A0A1A8X481                      0  0 o
A0A1A8X6P7                      0  0 o
A0A1A8X777                      0  0 o
A0A1A8X7E6                      0  0 o
A0A1C3KAH2                      0  0 o
A0A1C3KAS9                      1  0 o405-424i
A0A1C3KB14                      7  0 i193-212o332-350i357-376o382-402i414-433o439-460i542-564o
A0A1C3KBG0                      0  0 o
A0A1C3KBH3                      0  Y n3-14c19/20o
A0A1C3KBV8                      1  0 i18-36o
A0A1C3KC58                      0  0 o
A0A1C3KC69                      0  0 o
A0A1C3KCE6                      0  0 o
A0A1C3KCI4                      0  Y n6-16c20/21o
A0A1C3KCQ4                      0  0 i
A0A1C3KDD2                      0  0 o
A0A1C3KDR5                      1  0 o1507-1524i
A0A1C3KE20                      0  0 o
A0A1C3KEE0                      0  0 o
A0A1C3KEG1                      0  0 o
A0A1C3KEN0                      2  0 o906-922i942-962o
A0A1C3KEP4                      0  0 o
A0A1C3KEQ8                      0  0 o
A0A1C3KEU9                      0  0 o
A0A1C3KEV8                      0  0 o
A0A1C3KFG2                      2  0 o866-884i891-909o
A0A1C3KLS3                      0  0 o
A0A1C3KLU4                      0  0 o
A0A1C3KYB2                      0  0 o
A0A1C3KYQ4                      0  0 o
A0A1C3KYU6                      0  0 o
A0A1C3KYV8                      1  Y n4-15c20/21o274-293i
A0A1C3KYZ4                      0  Y n3-14c18/19o
A0A1C3KZ98                      0  0 o
A0A1C3KZC9                      0  0 o
A0A1C3L0E2                      2  0 i12-35o47-73i
A0A1C3L1C5                      0  0 o
A0A1C3L1Q6                      0  0 o
A0A1C3L2A8                      2  0 o1137-1155i1844-1863o
A0A1C3L2B1                      0  0 o
A0A1C3L373                      0  0 o
A0A1C3L3D0                      0  0 o
A0A1D3JIB0                      0  Y n2-12c17/18o
A0A1D3JJ98                      0  0 o
A0A1D3JJD2                      1  0 o1069-1086i
A0A1D3JJW6                      6  0 o14-35i47-65o96-119i140-157o169-187i231-250o
A0A1D3JK01                     11  0 o6-28i48-71o91-111i132-156o189-206i218-236o248-273i285-311o317-336i357-377o397-415i
A0A1D3JLL1                      0  0 o
A0A1D3JMA5                      0  Y n3-14c19/20o
A0A1D3JMP9                     11  0 o25-44i56-76o96-118i125-142o148-171i183-203o215-233i245-263o269-293i573-591o597-614i
A0A1D3JN14                      1  0 i18-36o
A0A1D3PAV2                      0  0 o
A0A1D3PAW9                      1  Y n4-15c20/21o369-388i
A0A1D3PAX0                      0  0 o
A0A1D3PBX5                      0  0 i
A0A1D3PC53                      1  0 o1404-1425i
A0A1D3PC73                      0  0 o
A0A1D3RHI7                      0  0 o
A0A1D3RIX5                      0  0 o
A0A1D3SMI1                      0  0 o
A0A1D3SML1                      0  0 o
A0A1D3SMV6                      1  0 o6-23i
A0A1D3SNT6                      0  0 o
A0A1D3SPX3                      0  0 o
A0A1D3SQ01                      0  0 o
A0A1D3SQ30                      7  0 o17-39i82-101o113-133i145-166o172-191i212-231o237-261i
A0A1D3SQ47                      0  0 o
A0A1D3SQA0                      0  0 o
A0A1D3SQA9                      1  0 i127-146o
A0A1D3TC97                      0  0 o
A0A1D3TCH6                      0  0 o
A0A1D3TCK0                      2  0 o906-922i942-962o
A0A1D3TCP0                      0  0 o
A0A1D3TCR2                      0  0 o
A0A1D3TCX4                      0  0 o
A0A1D3TE75                      2  0 o1145-1163i1838-1857o
A0A1D3TEE4                      0  0 o
A0A1D3TEF9                      6  0 o444-464i476-497o509-531i552-571o577-599i606-625o
A0A1D3TEQ3                      0  0 o
A0A1D3TEQ6                      0  0 o
A0A1D3TFK8                      0  Y n4-15c19/20o
Q9Y1B0                          0  0 o
